text;sentiment
The # TTC is FREE all night long. Stay safe, stay warm, and have a Happy New Year! https://twitter.com/ttchelps/status/947467582050848769 …;1
Have a safe and happy New Year’s Eve Toronto! Remember the # TTC is free all night so please use it and party responsibly. # NewYearsEve2017pic.twitter.com/uA1q4HLWCj;1
So glad that the # TTC has closed so many entrances in 2017 in order to complete their Presto installation. It's just a shame that it coincides with the decline of this system as all other transit systems using this technology are moving on to the next one.;1
Please # DontDrinkAndDrive tonight friends! If you're in # Toronto you can ride the # TTC for FREE from 7 p.m. to 7 a.m. thanks to @ CorbySW! Happy New Year! Be safe and have fun! # CorbySafeRidespic.twitter.com/eF6D4JEBEm;1
Thanks Brad! Great what the # TTC does every New Years! Have a happy New Years Brad and thanks for the excellent job you do every time responding to our inquiries on Twitter!;1
NO EXCUSE PEOPLE, RIDE THE # TTC FOR FREE DONT DRINK AND DRIVE # NewYearsEvehttps://twitter.com/corbysw/status/944230083501412352 …;1
Got to Dundas subway station 10mins ago, TV said 8mins to next train, now says 2 mins wait. Longest 8mins ever. I think the subway trains are resting up before tonight’s craziness. # TTC;1
"So if you are planning to propose at midnight this might be the place to celebrate NYE ;-) Take # TTC to Old Mill Station! @ oldmilltoronto http://bit.ly/Rdknch pic.twitter.com/PytMDXffV3";1
Happy New Year to everyone. Wishing everyone health, happiness and good cheer in 2018. If you'll be enjoying the festivities this evening, please # DontDrinkAndDrive . Take advantage of free public transit. # happynewyear 2018 # GOTransit # TTC # Welcome2018pic.twitter.com/GUCBGHrQe2;1
Need a ride? # TTC, # GOTransit, & # UpExpress rides are all FREE starting at 7pm! # NYE - @ WillNashOnAir;1
Tonight, you can ride the # TTC home free. Ditto for the # UpExpress;1
Take advantage of free # TTC tonight! Will be feeling like -26 with the wind chill in # Toronto! # HappyNewYear https://twitter.com/blogto/status/947486301712015361 …;1
# TTC is free tonight for New Year’s Eve. Happy New Year! https://www.insidetoronto.com/news-story/8028363-ttc-go-transit-offer-free-rides-on-new-year-s-eve/ …;1
Toronto, we should be grateful for our # TTC, - not envious of # NYC. - - and Andy Byford, who did so much for the TTC, - I pray for you now in NYC's MTA. :: What Would It Take to Fix New York’s Subway?https://nyti.ms/2pd6NfJ;1
Understood. Thanks for your help. # ttc # topoli;1
The # TTC will be totally free all night on # NYE http://bit.ly/2C8oFOT pic.twitter.com/dSevlw4km6;1
Hwy 407 station is a very pretty station. # ttc;1
"For everywhere you need to be,  go with # TTC!"" @ TTChelps # Torontopic.twitter.com/S1UA9bPl8o";1
"Listening to a street car driver on King tell a passenger how he knows the pilot will only last a year"" because he's seen hundreds of these pilots and the they never last. Cost too much. Blah blah blah. I hope you're wrong buddy because I love it. # ttc # KingStreetPilot""";1
Seamless accessible connection from # TTC to @ GOtransitpic.twitter.com/hLuQ9zW1Uk – bei Downsview Park Station;1
I realize I’m a little late to the game but I always love an updated map. # TTC # Toronto # YYZpic.twitter.com/lzItwuMyz2;1
Damn. The 123 came on time. I'm actually so shook # TTC;1
Kudos on the # ttc # busdriver for the shuttle bus for # line3. There were 2 rude customers which I would have ignored had I been the bus driver. THANK YOU for not having taken off sooner so that I was able to catch the bus from already being late for work;1
Good morning # Toronto! Ronnie here, signing in to help you travel this morning. I hope you've all been able to enjoy some holidays this week. This is my last shift of 2017 - thank you for a great year # TTC friends! ^RA pic.twitter.com/4tGrVLljav;1
# TTC offers free rides on New Year’s Eve https://www.thestar.com/news/gta/2017/12/29/ttc-offers-free-rides-on-new-years-eve.html … via @ torontostar # toronto;1
It really becomes apparent how great the # KingPilot is when you actually have to take a route that isn’t the 504/514. # TTC # TOpoli;1
