userid;username;date;time;retweets;favorites;text;geo;mentions;hashtags;tweetid;permalink
19025957;TTCnotices;2017-06-28;18:37;0;2;"As an alternate, customers can utilize the 501 Queen replacement buses from street level as well as GO transit. # TTC";;;# TTC;"880193355614957570";https://twitter.com/TTCnotices/status/880193355614957570
19025957;TTCnotices;2017-06-27;15:59;1;1;"ALL CLEAR: The delay at Parklawn and Lakeshore has now cleared. 501 Queen has resumed regular routing. # TTC";;;# TTC;"879791248881717248";https://twitter.com/TTCnotices/status/879791248881717248
19025957;TTCnotices;2017-06-27;15:17;1;1;"501 Queen holding westbound at Parklawn and Lakeshore due to a stalled auto blocking the roadway. # TTC";;;# TTC;"879780830180241408";https://twitter.com/TTCnotices/status/879780830180241408
19025957;TTCnotices;2017-06-24;15:47;0;2;"ALL CLEAR: The delay at Queen and Shaw has cleared. 501 Queen has resumed regular routing. # TTC";;;# TTC;"878701120566296577";https://twitter.com/TTCnotices/status/878701120566296577
19025957;TTCnotices;2017-06-24;15:26;0;0;"UPDATE: 501 Queen diverting westbound via Shaw, King, Dufferin, due to a collision at Queen and Shaw. # TTC";;;# TTC;"878695948075061248";https://twitter.com/TTCnotices/status/878695948075061248
19025957;TTCnotices;2017-06-24;15:20;1;1;"501 Queen diverting both ways via Shaw, King, Dufferin, due to a collision at Queen and Shaw. # TTC";;;# TTC;"878694217408806914";https://twitter.com/TTCnotices/status/878694217408806914
19025957;TTCnotices;2017-06-19;21:57;0;0;"ALL CLEAR: The delay at Queen and University has cleared. 501 Queen has resumed regular routing. # TTC";;;# TTC;"876982366195130369";https://twitter.com/TTCnotices/status/876982366195130369
19025957;TTCnotices;2017-06-19;21:47;0;0;"UPDATE: 501 Queen also diverting eastbound via John, Adelaide, University due to a fire investigation at Queen and University. # TTC";;;# TTC;"876979717626376192";https://twitter.com/TTCnotices/status/876979717626376192
19025957;TTCnotices;2017-06-19;21:36;0;1;"501 Queen diverting westbound via University, Richmond, John due to a fire investigation at Queen and University. # TTC";;;# TTC;"876977022664404993";https://twitter.com/TTCnotices/status/876977022664404993
19025957;TTCnotices;2017-06-11;20:29;0;0;"ALL CLEAR: The delay at Kingston and Queen has cleared. 501 Queen has returned to regular routing. # TTC";;;# TTC;"874060934335139840";https://twitter.com/TTCnotices/status/874060934335139840
19025957;TTCnotices;2017-06-11;20:01;0;0;"501 Queen turning back westbound at Kingston road due to a collision at Kingston and Queen. # TTC";;;# TTC;"874054061288562689";https://twitter.com/TTCnotices/status/874054061288562689
19025957;TTCnotices;2017-06-10;11:55;1;0;"ALL CLEAR: The delay at Lake Shore and Parkside has cleared. 80 Queensway and 501 Queen have returned to regular routing. # TTC";;;# TTC;"873569198722732032";https://twitter.com/TTCnotices/status/873569198722732032
19025957;TTCnotices;2017-06-10;07:57;0;0;"501 Queen turning back eastbound at Lake Shore and Park Lawn due to a road closure at Lake Shore and Parkside. # TTC";;;# TTC;"873509493128212482";https://twitter.com/TTCnotices/status/873509493128212482
19025957;TTCnotices;2017-06-09;21:44;0;3;"ALL CLEAR: The delay at Queen and Broadview has cleared. 501 Queen has resumed regular routing. # TTC";;;# TTC;"873355152136294400";https://twitter.com/TTCnotices/status/873355152136294400
19025957;TTCnotices;2017-06-09;21:27;0;1;"501 Queen diverting both ways via Broadview, Eastern, Carlaw due to autos in collision at Queen and Broadview. # TTC";;;# TTC;"873350866723590144";https://twitter.com/TTCnotices/status/873350866723590144
19025957;TTCnotices;2017-06-09;09:53;2;2;"ALL CLEAR: The delay westbound on Queen at Spadina has cleared. 501 Queen has returned to regular routing. # TTC";;;# TTC;"873176222318067714";https://twitter.com/TTCnotices/status/873176222318067714
19025957;TTCnotices;2017-06-09;09:51;1;0;"501 Queen holding westbound on Queen at Spadina due to a medical emergency on board a streetcar. # TTC";;;# TTC;"873175843031453696";https://twitter.com/TTCnotices/status/873175843031453696
19025957;TTCnotices;2017-06-03;08:08;0;0;"ALL CLEAR: The delay at Queen and Jarvis is now clear and 501 Queen has resumed regular routing. # TTC";;;# TTC;"870975549635784705";https://twitter.com/TTCnotices/status/870975549635784705
