route,serve
5,Avenue Road
6,Bay
7,Bathurst
8,Broadview
9,Bellamy
10,Van Horne
11,Bayview
12,Kingston Road
14,Glencairn
15,Evans
16,McCowan
17,Birchmount
20,Cliffside
21,Brimley
22,Coxwell
23,Dawes
24,Victoria Park
25,Don Mills
26,Dupont
28,Bayview South
29,Dufferin
30,Lambton
31,Greenwood
32,Eglinton West
33,Forest Hill
34,Eglinton East
35,Jane
36,Finch West
37,Islington
38,Highland Creek
39,Finch East
40,Junction
41,Keele
42,Cummer
43,Kennedy
44,Kipling South
45,Kipling
46,Martin Grove
47,Lansdowne
48,Rathburn
49,Bloor West
50,Burnhamthorpe
51,Leslie
52,Lawrence West
53,Steeles East
54,Lawrence East
55,Warren Park
56,Leaside
57,Midland
59,Maple Leaf
60,Steeles West
61,Avenue Road North
62,Mortimer
63,Ossington
64,Main
65,Parliament
66,Prince Edward
67,Pharmacy
68,Warden
69,Warden South
70,O'Connor
71,Runnymede
72,Pape
73,Royal York
74,Mount Pleasant
75,Sherbourne
76,Royal York South
77,Swansea
78,St. Andrews
79,Scarlett Rd.
80,Queensway
81,Thorncliffe Park
82,Rosedale
83,Jones
84,Sheppard West
85,Sheppard East
86,Scarborough
87,Cosburn
88,South Leaside
89,Weston
90,Vaughan
91,Woodbine
92,Woodbine South
93,Parkview Hills
94,Wellesley
95,York Mills
96,Wilson
97,Yonge
98,Willowdale-Senlac
99,Arrow Road
100,Flemingdon Park
101,Downsview Park
102,Markham Rd.
104,Faywood
105,Dufferin North
106,Sentinel
107,St Regis
108,Driftwood
109,Ranee
110,Islington South
111,East Mall
112,West Mall
113,Danforth Road
115,Silver Hills
116,Morningside
117,Alness-Chesswood
118,Thistle Down
119,Torbarrie
120,Calvington
121,Fort York-Esplanade
122,Graydon Hall
123,Shorncliffe
124,Sunnybrook
125,Drewry
126,Christie
127,Davenport
129,McCowan North
130,Middlefield
131,Nugget
132,Milner
133,Neilson
134,Progress
135,Gerrard
141,Downtown/Mt.Pleasant Express
142,Downtown/Avenue Rd. Express
143,Downtown\beach Express
144,Downtown/Don Valley Express
145,Downtown/Humber Bay Express
160,Bathurst North
161,Rogers Road
162,Lawrence-Donway
165,Weston Rd. North
167,Pharmacy North
168,Symington
169,Huntingwood
171,Mount Dennis
175,Bluffer'S Park
176,Mimico GO
185,Don Mills Rocket
186,Wilson Rocket
188,Kipling South Rocket
190,Scarb.Centre Rocket
191,Highway 27 Rocket
192,Airport Rocket
193,Exhibition Rocket
195,Jane Rocket
198,U of T Scarborough Rocket
199,Finch Rocket
300,Bloor-Danforth Night Bus
301,Queen N.C.
302,Kingston Rd-McCowan Night Bus
304,King N.C.
306,Carlton N.C.
307,Bathurst Night Bus
310,Spadina N.C.
312,St.Clair-Junction Night Bus
315,Evans-Brown's Line Night Bus
320,Yonge Night Bus
322,Coxwell Night Bus
324,Victoria Park Night Bus
325,Don Mills Night Bus
329,Dufferin Night Bus
332,Eglinton West Night Bus
334,Eglinton East Night Bus
335,Jane Night Bus
336,Finch West Night Bus
337,Islington Night Bus
339,Finch East Night Bus
341,Keele Night Bus
343,Kennedy Night Bus
352,Lawrence West Night Bus
353,Steeles Night Bus
354,Lawrence East Night Bus
363,Ossington Night Bus
365,Parliament Night Bus
384,Sheppard West Night Bus
385,Sheppard East Night Bus
395,York Mills Night Bus
396,Wilson Night Bus
501,Queen S.C.
502,Downtowner
504,King S.C.
505,Dundas S.C.
506,Carlton S.C.
509,Harbourfront
510,Spadina
511,Bathurst
512,St. Clair
