"";"month.of.tweet";"day.of.tweet";"day.of.week";"hour.of.tweet";"period.of.tweet";"text";"route";"routetype";"disrupt";"disrupt_reason";"reasongroup"
"1";"6";"30";"Saturday";"23";"Evening";"12 detour eastbound via st clair ave e midland ave and danforth rd due to collision.";"12";"bus";"detour";"to collision";"collision on the road"
"2";"6";"30";"Saturday";"22";"Evening";"501 detour via spadina ave king st west and church st due to police activity. shuttle buses operating.";"501";"streetcar";"detour";"to police activity";"police/security"
"3";"6";"30";"Saturday";"22";"Evening";"line 1 minor delays northbound near davisville while we respond to emergency alarm.";"line 1";"subway";"delay";"emergency alarm";"emergency alarm"
"4";"6";"30";"Saturday";"20";"Evening";"line 1 minor delays northbound near wilson while we respond to emergency alarm.";"line 1";"subway";"delay";"emergency alarm";"emergency alarm"
"5";"6";"30";"Saturday";"20";"Evening";"501 detour via spadina ave king st west and church st due to police activity.";"501";"streetcar";"detour";"to police activity";"police/security"
"6";"6";"30";"Saturday";"20";"Evening";"510 detour northbound via king st w bathurst st and college st due to police activity.";"510";"streetcar";"detour";"to police activity";"police/security"
"7";"6";"30";"Saturday";"18";"Midday";"511 no service between bathurst station and queen st west while we fix mechanical problem.";"511";"streetcar";"no service";"mechanical problem";"mechanical"
"8";"6";"30";"Saturday";"16";"Midday";"63 detour northbound via davenport rd christie st and st clair ave west due to collision.";"63";"bus";"detour";"to collision";"collision on the road"
"9";"6";"30";"Saturday";"16";"Midday";"161 detour via davenport rd dufferin st and st clair ave west due to collision.";"161";"bus";"detour";"to collision";"collision on the road"
"10";"6";"30";"Saturday";"16";"Midday";"127 detour via dovercourt rd geary ave and ossington ave due to collision.";"127";"bus";"detour";"to collision";"collision on the road"
"11";"6";"30";"Saturday";"16";"Midday";"86 detour via morningside ave and lawrence ave east due to collision.";"86";"bus";"detour";"to collision";"collision on the road"
"12";"6";"30";"Saturday";"16";"Midday";"198 detour via morningside ave and lawrence ave east due to collision.";"198";"bus";"detour";"to collision";"collision on the road"
"13";"6";"30";"Saturday";"16";"Midday";"43 detour northbound via passmore ave and silver star blvd due to broken railway crossing.";"43";"bus";"detour";"to broken railway crossing";"blockage on the road/rail"
"14";"6";"30";"Saturday";"15";"Midday";"53 detour via silver star blvd passmore ave and kennedy rd due to collision.";"53";"bus";"detour";"to collision";"collision on the road"
"15";"6";"30";"Saturday";"15";"Midday";"501 no service between s kingsway and roncesvalles ave while we fix mechanical problem.";"501";"streetcar";"no service";"mechanical problem";"mechanical"
"16";"6";"30";"Saturday";"13";"Midday";"line 2 trains are not stopping at dufferin due to fire.";"line 2";"subway";"bypass";"to fire";"fire"
"17";"6";"30";"Saturday";"13";"Midday";"501 no service at burlington st while we fix mechanical problem. shuttle buses are running between burlington st and long branch loop.";"501";"streetcar";"no service";"mechanical problem";"mechanical"
"18";"6";"30";"Saturday";"13";"Midday";"line 2 major delays westbound from donlands to bloor-yonge while we respond to medical emergency.";"line 2";"subway";"delay";"medical emergency";"medical"
"19";"6";"30";"Saturday";"11";"Morning";"121 detour via spadina ave and front st west due to blue jays game.";"121";"bus";"detour";"to blue jays game";"activities/protest"
"20";"6";"30";"Saturday";"11";"Morning";"33 detour northbound via st clair ave w bathurst st tichester rd and spadina rd due to collision.";"33";"bus";"detour";"to collision";"collision on the road"
